rank,name,rating,url,location_coordinate,location_country,location_region,elevation_top_m,elevation_difference_m,total_slope_length_km,number_of_lifts,number_of_slopes,annual_snowfall_cm,number_of_matches
1,4 Vallées (Verbier),1311.7,http://www.4vallees.ch,"{'lat': '46.1013', 'long': '7.2263'}",Switzerland,Valais,3330.0,1980.0,412.0,68.0,307.0,500.0,65
2,Matterhorn (Zermatt/Cervinia),1296.8,https://www.matterhornparadise.ch/,"{'lat': '45.9845', 'long': '7.7481'}",Switzerland,Valais,3899.0,2337.0,322.0,51.0,69.0,450.0,49
3,Les 3 Vallées (Val Thorens/Méribel/Courchevel),1233.0,https://www.les3vallees.com/,"{'lat': '45.295', 'long': '6.580'}",France,Savoie,3230.0,2130.0,600.0,156.0,61.0,500.0,9
4,Chamonix Mont-Blanc,1214.2,https://www.chamonix.com,"{'lat': '45.9237', 'long': '6.8694'}",France,Auvergne-Rhône-Alpes,3842.0,2807.0,152.0,65.0,102.0,450.0,21
5,Zell am See-Kaprun,1181.7,https://www.zellamsee-kaprun.com/,"{'lat': '47.3231', 'long': '12.7768'}",Austria,Schwaz,3029.0,2261.0,138.0,49.0,26.0,600.0,25
6,La Plagne,1180.3,https://www.la-plagne.com/,"{'lat': '45.5078', 'long': '6.6770'}",France,Savoie,3167.0,1960.0,225.0,74.0,225.0,500.0,13
7,Tignes – Val d'Isère,1177.9,https://www.tignes.net/,"{'lat': '45.4691', 'long': '6.9051'}",France,Savoie,3456.0,1906.0,300.0,79.0,130.0,500.0,1
8,Ski Arlberg (St.Anton),1166.5,https://www.skiarlberg.at/,"{'lat': '47.128', 'long': '10.228'}",Austria,Tyrol,2811.0,1507.0,301.0,85.0,93.0,400.0,5
9,Alpe d'Huez,1158.5,https://www.alpedhuez.com/,"{'lat': '45.0915', 'long': '6.0668'}",France,Isère,3330.0,2205.0,250.0,69.0,3.0,450.0,1
10,Les Portes du Soleil,1148.4,https://www.portesdusoleil.com/,"{'lat': '46.2090', 'long': '6.7766'}",Switzerland,Valais,2254.0,1269.0,580.0,165.0,53.0,700.0,1
11,Palisades Tahoe,1147.8,https://www.palisadestahoe.com,"{'lat': '39.1971', 'long': '-120.2357'}",USA,California,2745.0,855.0,200.0,43.0,43.0,1194.0,9
12,Saalbach Hinterglemm,1143.8,https://www.saalbach.com/,"{'lat': '47.3925', 'long': '12.6360'}",Austria,Pinzgau,2096.0,1266.0,270.0,70.0,82.0,600.0,1
13,White Grizzly,1143.2,https://www.whitegrizzly.com/,"{'lat': '50.053227', 'long': '-117.058441'}",Canada,British Columbia,2500.0,1840.0,280.0,4.0,20.0,1200.0,1
14,Les Arcs,1141.0,https://www.lesarcs-peiseyvallandry.com/,"{'lat': '45.5761', 'long': '6.7811'}",France,Savoie,3226.0,2026.0,200.0,53.0,200.0,500.0,9
15,Le Grand Massif,1139.6,https://www.grand-massif.com/,"{'lat': '46.0086', 'long': '6.6876'}",France,Haute-Savoie,2480.0,1783.0,265.0,62.0,141.0,600.0,1
16,Mayrhofen,1137.1,https://www.mayrhofen.at/de/pages/mountopolis-startseite-winter,"{'lat': '47.1625', 'long': '11.8613'}",Austria,Schwaz,2500.0,1870.0,142.0,58.0,85.0,600.0,1
17,Whistler Blackcomb,1136.8,https://www.whistlerblackcomb.com/,"{'lat': '50.1150', 'long': '-122.9463'}",Canada,British Columbia,2284.0,1609.0,200.0,27.0,61.0,1182.0,1
18,Park City,1133.9,https://www.parkcitymountain.com/,"{'lat': '40.6514', 'long': '-111.5076'}",USA,Utah,3048.0,975.0,250.0,42.0,213.0,900.0,1
19,Les 2 Alpes,1131.5,https://www.les2alpes.com,"{'lat': '45.0063', 'long': '6.1183'}",France,Isère,3523.0,2243.0,200.0,44.0,85.0,400.0,1
20,Niseko United,1129.6,https://www.niseko.ne.jp/en/,"{'lat': '42.8048', 'long': '140.6874'}",Japan,Hokkaido,1188.0,933.0,51.0,32.0,59.0,1500.0,1
21,Jackson Hole,1127.2,https://www.jacksonhole.com/,"{'lat': '43.5875', 'long': '-110.8277'}",USA,Wyoming,3185.0,1261.0,116.0,13.0,116.0,1200.0,1
22,Serre Chevalier,1125.4,https://serrechevalier-pass.com/,"{'lat': '44.9442', 'long': '6.5899'}",France,Provence-Alpes-Côte d’Azur,2800.0,1600.0,250.0,59.0,76.0,500.0,1
23,Arosa Lenzerheide,1124.9,https://arosalenzerheide.swiss/,"{'lat': '46.7381', 'long': '9.5584'}",Switzerland,Graubünden,2865.0,1636.0,225.0,43.0,43.0,500.0,9
24,Silvretta Arena (Ischgl),1122.6,https://www.ischgl.com/,"{'lat': '46.9872', 'long': '10.2875'}",Austria,Tyrol,2872.0,1512.0,239.0,46.0,0.0,550.0,1
25,SkiWelt,1122.6,https://www.skiwelt.at/,"{'lat': '47.4558533', 'long': '12.2083789'}",Austria,Tyrol,1869.0,1249.0,270.0,82.0,60.0,400.0,1
26,Megève/Saint-Gervais,1121.4,https://www.ski-saintgervais.com,"{'lat': '45.8545', 'long': '6.6163'}",France,Haute-Savoie,2353.0,1503.0,263.0,80.0,73.0,450.0,1
27,Les Sybelles,1118.9,https://www.sybelles.ski/,"{'lat': '45.2446', 'long': '6.2710'}",France,Savoie,2620.0,1520.0,310.0,68.0,57.0,500.0,1
28,Serfaus-Fiss-Ladis,1118.7,https://www.serfaus-fiss-ladis.at/,"{'lat': '47.0425', 'long': '10.6056'}",Austria,Landeck,2828.0,1628.0,186.0,38.0,65.0,400.0,1
29,Big Sky Resort,1117.4,https://bigskyresort.com/,"{'lat': '45.2845', 'long': '-111.4014'}",USA,Montana,3398.0,1326.0,250.0,38.0,300.0,1016.0,1
30,Sölden,1117.3,https://www.soelden.com/,"{'lat': '46.969784', 'long': '11.010108'}",Austria,Imst,3340.0,1990.0,147.0,31.0,65.0,300.0,1
31,Monterosa Ski,1114.7,https://www.visitmonterosa.com/,"{'lat': '45.8456', 'long': '7.9362'}",Italy,Aosta Valley and Piedmont,3275.0,2063.0,132.0,20.0,123.0,600.0,9
32,Hintertux Glacier,1112.0,https://www.hintertuxergletscher.at/,"{'lat': '47.0957', 'long': '11.6677'}",Austria,Bezirk Schwaz,3250.0,1750.0,62.0,21.0,3.0,600.0,5
33,Val Gardena,1111.0,https://www.valgardena.it/,"{'lat': '46.5561', 'long': '11.6743'}",Italy,Trentino-Alto Adige,2518.0,1282.0,181.0,79.0,79.0,300.0,1
